Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JOINVILLE,520905,520905,526338,546981,554601,562151,569645,577077,583144,590466,597658
JOSÉ BOITEUX,4731,4731,4741,4837,4850,4862,4874,4887,4985,4997,5007
JUNDIAÍ DO SUL,3315,3292,3416,3416,3416,3416,3416,3416,3416,3416,3399
JUPIÁ,2143,2143,2138,2158,2150,2142,2134,2127,2110,2101,2092
JURANDA,7391,7340,7604,7604,7604,7604,7604,7604,7604,7604,7567
JUSSARA,6983,7013,6634,6634,6634,6634,6634,6634,6634,6634,6657
KALORÉ,4154,4100,4465,4465,4465,4465,4465,4465,4465,4465,4425
LACERDÓPOLIS,2201,2201,2203,2242,2244,2246,2249,2251,2245,2246,2247
LAGES,156665,156665,156604,158961,158846,158732,158620,158508,157743,157544,157349
LAGUNA,51869,51869,42750,43979,44316,44650,44982,45311,45500,45814,46122
LAJEADO GRANDE,1484,1484,1478,1488,1479,1470,1461,1453,1437,1427,1418
LAPA,47909,48163,45137,45137,45137,45137,45137,45137,45137,45137,45334
LARANJAL,5921,5852,6308,6308,6308,6308,6308,6308,6308,6308,6257
LARANJEIRAS DO SUL,32006,32073,30835,30835,30835,30835,30835,30835,30835,30835,30891
LAURENTINO,6077,6077,6147,6402,6500,6598,6694,6790,6875,6970,7063
LAURO MULLER,14426,14426,14483,14841,14919,14996,15073,15149,15174,15244,15313
LEBON RÉGIS,11850,11850,11862,12077,12091,12105,12119,12133,12099,12107,12115
LEOBERTO LEAL,3337,3337,3309,3298,3258,3218,3179,3140,3083,3041,3000
LEÓPOLIS,3984,3954,4123,4123,4123,4123,4123,4123,4123,4123,4101
LIDIANÓPOLIS,3391,3310,3911,3911,3911,3911,3911,3911,3911,3911,3851
LINDOESTE,4762,4676,5295,5295,5295,5295,5295,5295,5295,5295,5231
LINDÓIA DO SUL,4632,4632,4622,4674,4659,4644,4630,4615,4580,4563,4546
LOANDA,22927,23086,21328,21328,21328,21328,21328,21328,21328,21328,21451
LOBATO,4755,4787,4427,4427,4427,4427,4427,4427,4427,4427,4452
LONDRINA,563943,569733,511279,511279,511279,511279,511279,511279,511279,511279,515707
LONTRAS,10387,10387,10526,11005,11200,11393,11584,11774,11942,12130,12315
LUIZ ALVES,10628,10628,10811,11395,11653,11908,12162,12413,12609,12859,13107
LUIZIANA,7285,7262,7298,7298,7298,7298,7298,7298,7298,7298,7282
LUNARDELLI,4845,4794,5122,5122,5122,5122,5122,5122,5122,5122,5084
LUPIONÓPOLIS,4894,4920,4613,4613,4613,4613,4613,4613,4613,4613,4633
LUZERNA,5603,5603,5605,5698,5700,5701,5703,5705,5686,5685,5684
MACIEIRA,1821,1821,1815,1831,1823,1815,1807,1799,1784,1775,1766
MAFRA,53141,53141,53361,54708,55012,55313,55611,55907,56017,56292,56561
MAJOR GERCINO,3290,3290,3300,3375,3389,3402,3416,3429,3430,3442,3454
MAJOR VIEIRA,7523,7523,7566,7782,7841,7899,7957,8015,8048,8103,8156
MALLET,13595,13630,13002,13002,13002,13002,13002,13002,13002,13002,13030
MAMBORÊ,13252,13132,13870,13870,13870,13870,13870,13870,13870,13870,13781
MANDAGUAÇU,22531,22819,20008,20008,20008,20008,20008,20008,20008,20008,20227
MANDAGUARI,34281,34400,32755,32755,32755,32755,32755,32755,32755,32755,32849
MANDIRITUBA,26411,26869,22580,22580,22580,22580,22580,22580,22580,22580,22927
MANFRINÓPOLIS,2639,2571,3076,3076,3076,3076,3076,3076,3076,3076,3026
MANGUEIRINHA,16787,16714,16994,16994,16994,16994,16994,16994,16994,16994,16941
MANOEL RIBAS,13494,13502,13177,13177,13177,13177,13177,13177,13177,13177,13185
MARACAJÁ,6471,6471,6535,6784,6873,6963,7051,7139,7207,7293,7378
MARAVILHA,22376,22376,22642,23602,23975,24345,24712,25076,25403,25762,26116
MARECHAL CÂNDIDO RONDON,52379,52944,47266,47266,47266,47266,47266,47266,47266,47266,47697
MAREMA,2169,2169,2136,2094,2046,1999,1952,1906,1846,1797,1750
MARIA HELENA,5720,5677,5924,5924,5924,5924,5924,5924,5924,5924,5892
MARIALVA,35180,35496,32209,32209,32209,32209,32209,32209,32209,32209,32451
MARILÂNDIA DO SUL,8858,8836,8848,8848,8848,8848,8848,8848,8848,8848,8832
MARILENA,7067,7076,6866,6866,6866,6866,6866,6866,6866,6866,6874
MARILUZ,10354,10345,10219,10219,10219,10219,10219,10219,10219,10219,10214
MARINGÁ,417010,423666,362329,362329,362329,362329,362329,362329,362329,362329,367410
MARIÓPOLIS,6586,6610,6288,6288,6288,6288,6288,6288,6288,6288,6306
MARIPÁ,5624,5603,5669,5669,5669,5669,5669,5669,5669,5669,5654
MARMELEIRO,14346,14367,13919,13919,13919,13919,13919,13919,13919,13919,13936
MARQUINHO,4472,4405,4929,4929,4929,4929,4929,4929,4929,4929,4879
MARUMBI,4681,4679,4603,4603,4603,4603,4603,4603,4603,4603,4602
MASSARANDUBA,14837,14837,14993,15586,15806,16024,16240,16455,16704,16916,17125
MATELÂNDIA,17775,17943,16212,16212,16212,16212,16212,16212,16212,16212,16340
MATINHOS,34207,34720,29831,29831,29831,29831,29831,29831,29831,29831,30220
MATO RICO,3340,3272,3766,3766,3766,3766,3766,3766,3766,3766,3716
MATOS COSTA,2811,2811,2784,2767,2729,2690,2652,2614,2560,2520,2480
MAUÁ DA SERRA,10397,10601,8715,8715,8715,8715,8715,8715,8715,8715,8870
MEDIANEIRA,45812,46198,42124,42124,42124,42124,42124,42124,42124,42124,42420
MELEIRO,6994,6994,6988,7085,7076,7066,7056,7047,7028,7015,7001
MERCEDES,5493,5536,5080,5080,5080,5080,5080,5080,5080,5080,5113
MIRADOR,2231,2213,2314,2314,2314,2314,2314,2314,2314,2314,2301
MIRASELVA,1816,1806,1855,1855,1855,1855,1855,1855,1855,1855,1848
MIRIM DOCE,2495,2495,2477,2476,2450,2424,2399,2374,2336,2309,2283
MISSAL,10700,10702,10478,10478,10478,10478,10478,10478,10478,10478,10481
MODELO,4054,4054,4063,4147,4158,4169,4181,4192,4200,4209,4218
MONDAÍ,10347,10347,10458,10877,11034,11189,11343,11496,11592,11742,11889
MONTE CARLO,9347,9347,9381,9604,9650,9695,9740,9785,9824,9866,9906
MONTE CASTELO,8346,8346,8346,8478,8476,8475,8473,8471,8280,8275,8269
MOREIRA SALES,12201,12121,12546,12546,12546,12546,12546,12546,12546,12546,12487
MORRETES,16366,16406,15753,15753,15753,15753,15753,15753,15753,15753,15785
MORRO DA FUMAÇA,16247,16247,16364,16888,17052,17213,17373,17532,17642,17796,17947
MORRO GRANDE,2888,2888,2886,2928,2925,2921,2918,2915,2898,2893,2888
MUNHOZ DE MELO,3958,3984,3693,3693,3693,3693,3693,3693,3693,3693,3713
NAVEGANTES,62187,62187,63764,68337,70565,72772,74964,77137,79285,81475,83626
NOSSA SENHORA DAS GRAÇAS,4008,4008,3929,3929,3929,3929,3929,3929,3929,3929,3930
NOVA ALIANÇA DO IVAÍ,1534,1543,1439,1439,1439,1439,1439,1439,1439,1439,1446
NOVA AMÉRICA DA COLINA,3456,3445,3470,3470,3470,3470,3470,3470,3470,3470,3462
NOVA AURORA,10650,10472,11730,11730,11730,11730,11730,11730,11730,11730,11598
NOVA CANTU,5550,5302,7234,7234,7234,7234,7234,7234,7234,7234,7050
NOVA ERECHIM,4332,4332,4386,4577,4654,4729,4804,4879,4945,5019,5092
NOVA ESPERANÇA,27821,27904,26684,26684,26684,26684,26684,26684,26684,26684,26749
NOVA ESPERANÇA DO SUDOESTE,5063,5046,5086,5086,5086,5086,5086,5086,5086,5086,5074
NOVA FÁTIMA,8170,8153,8135,8135,8135,8135,8135,8135,8135,8135,8124
NOVA ITABERABA,4268,4268,4269,4338,4338,4339,4339,4339,4333,4331,4329
NOVA LARANJEIRAS,11603,11554,11206,11206,11206,11206,11206,11206,11206,11206,11690
NOVA LONDRINA,13225,13213,13060,13060,13060,13060,13060,13060,13060,13060,13052
NOVA OLÍMPIA,5785,5806,5521,5521,5521,5521,5521,5521,5521,5521,5537
NOVA PRATA DO IGUAÇU,10552,10548,10376,10376,10376,10376,10376,10376,10376,10376,10374
NOVA SANTA BÁRBARA,4220,4249,3931,3931,3931,3931,3931,3931,3931,3931,3953
NOVA SANTA ROSA,8171,8219,7665,7665,7665,7665,7665,7665,7665,7665,7702
NOVA TEBAS,5856,5649,7239,7239,7239,7239,7239,7239,7239,7239,7085
NOVA TRENTO,12370,12370,12544,13135,13379,13621,13861,14099,14312,14549,14782
NOVA VENEZA,13448,13448,13581,14098,14285,14470,14654,14837,14987,15166,15342
NOVO HORIZONTE,2724,2724,2697,2681,2643,2606,2569,2532,2481,2442,2404
NOVO ITACOLOMI,2848,2844,2825,2825,2825,2825,2825,2825,2825,2825,2822
ORLEANS,21498,21498,21599,22171,22311,22449,22587,22723,22785,22912,23038
ORTIGUEIRA,22327,22141,23240,23240,23240,23240,23240,23240,23240,23240,23103
OTACÍLIO COSTA,16517,16517,16691,17349,17593,17835,18075,18313,18510,18744,18975
OURIZONA,3430,3428,3379,3379,3379,3379,3379,3379,3379,3379,3378
OURO,7360,7360,7348,7436,7418,7399,7381,7363,7317,7295,7272
OURO VERDE,2265,2265,2259,2281,2272,2263,2254,2245,2227,2217,2207
OURO VERDE DO OESTE,5975,5996,5709,5709,5709,5709,5709,5709,5709,5709,5726
PAIAL,1741,1741,1720,1698,1668,1637,1607,1577,1537,1505,1474
PAIÇANDU,40777,41281,36333,36333,36333,36333,36333,36333,36333,36333,36717
PAINEL,2352,2352,2351,2385,2383,2381,2378,2376,2363,2359,2356
PALHOÇA,139990,139990,142558,150623,154244,157833,161395,164926,168259,171797,175272
PALMA SOLA,7732,7732,7699,7747,7699,7652,7604,7558,7475,7423,7372
PALMAS,50198,50986,43508,43508,43508,43508,43508,43508,43508,43508,44107
PALMEIRA,33757,36269,2410,2488,2512,2537,2562,2586,2603,34859,34976
PALMITAL,13389,13172,14699,14699,14699,14699,14699,14699,14699,14699,14538
PALMITOS,16019,16019,16018,16270,16266,16262,16257,16253,16182,16169,16157
PALOTINA,31564,31846,28907,28907,28907,28907,28907,28907,28907,28907,29123
PAPANDUVA,18013,18013,18096,18568,18681,18793,18905,19015,19218,19320,19422
PARAÍSO,4026,4026,3972,3915,3838,3763,3688,3613,3515,3437,3360
PARAÍSO DO NORTE,13631,13830,11929,11929,11929,11929,11929,11929,11929,11929,12079
PARANACITY,11361,11472,10338,10338,10338,10338,10338,10338,10338,10338,10423
PARANAGUÁ,153666,154936,141477,141477,141477,141477,141477,141477,141477,141477,142452
PARANAPOEMA,3164,3203,2822,2822,2822,2822,2822,2822,2822,2822,2852
PARANAVAÍ,87813,88374,82039,82039,82039,82039,82039,82039,82039,82039,82472
PASSO DE TORRES,6798,6798,6964,7447,7681,7912,8142,8370,8594,8823,9048
PASSOS MAIA,4400,4400,4374,4387,4351,4314,4279,4243,4186,4147,4109
PATO BRAGADO,5535,5610,4882,4882,4882,4882,4882,4882,4882,4882,4939
PATO BRANCO,81893,82881,73148,73148,73148,73148,73148,73148,73148,73148,73901
PAULA FREITAS,5837,5873,5463,5463,5463,5463,5463,5463,5463,5463,5491
PAULO FRONTIN,7321,7354,6940,6940,6940,6940,6940,6940,6940,6940,6966
PAULO LOPES,6751,6751,6808,7045,7124,7203,7282,7360,7418,7494,7569
PEABIRU,13985,13996,13635,13635,13635,13635,13635,13635,13635,13635,13645
PEDRAS GRANDES,4093,4093,4078,4110,4089,4068,4047,4026,4000,3976,3953
PENHA,25714,25714,26268,27936,28718,29493,30262,31025,31764,32531,33284
PERITIBA,2970,2970,2952,2958,2931,2906,2880,2855,2814,2787,2760
PEROBAL,6092,6127,5681,5681,5681,5681,5681,5681,5681,5681,5708
PÉROLA,11144,11234,10280,10280,10280,10280,10280,10280,10280,10280,10348
PÉROLA D'OESTE,6407,6347,6716,6716,6716,6716,6716,6716,6716,6716,6672
PESCARIA BRAVA,9416,9416,9416,9687,9761,9835,9908,9980,10022,10091,10159
PETROLÂNDIA,6110,6110,6090,6140,6110,6080,6051,6021,5971,5937,5905
PIÊN,12606,12746,11347,11347,11347,11347,11347,11347,11347,11347,11454
PINHAIS,130789,132157,118334,118334,118334,118334,118334,118334,118334,118334,119379
PINHAL DE SÃO BENTO,2725,2731,2630,2630,2630,2630,2630,2630,2630,2630,2635
PINHALÃO,6327,6326,6215,6215,6215,6215,6215,6215,6215,6215,6215
PINHALZINHO,16638,16638,16933,17868,18284,18696,19105,19511,19906,20313,20712
PINHÃO,32219,32391,30347,30347,30347,30347,30347,30347,30347,30347,30480
PINHEIRO PRETO,3180,3180,3190,3310,3353,3396,3438,3480,3513,3555,3596
PIRAÍ DO SUL,25291,25463,23561,23561,23561,23561,23561,23561,23561,23561,23693
PIRAQUARA,111052,113036,94518,94518,94518,94518,94518,94518,94518,94518,96023
PIRATUBA,4708,4708,4632,4533,4424,4316,4209,4102,3965,3854,3745
PITANGA,30635,30310,32391,32391,32391,32391,32391,32391,32391,32391,32152
PITANGUEIRAS,3185,3224,2845,2845,2845,2845,2845,2845,2845,2845,2874
PLANALTINA DO PARANÁ,4254,4263,4103,4103,4103,4103,4103,4103,4103,4103,4111
PLANALTO,13528,13479,13619,13619,13619,13619,13619,13619,13619,13619,13584
PLANALTO ALEGRE,2670,2670,2685,2761,2782,2803,2823,2844,2850,2870,2888
POMERODE,28192,28192,28610,30009,30598,31181,31760,32334,32874,33447,34010
PONTA GROSSA,348043,351736,314518,314518,314518,314518,314518,314518,314518,314518,317339
PONTAL DO PARANÁ,26636,27284,21427,21427,21427,21427,21427,21427,21427,21427,21917
PONTE ALTA,4873,4873,4853,4885,4855,4825,4796,4767,4714,4682,4650
PONTE ALTA DO NORTE,3310,3310,3316,3381,3389,3397,3405,3413,3408,3414,3420
PONTE SERRADA,11068,11068,11102,11358,11405,11452,11499,11545,11552,11593,11634
PORECATU,13084,12914,14060,14060,14060,14060,14060,14060,14060,14060,13934
PORTO AMAZONAS,4821,4848,4536,4536,4536,4536,4536,4536,4536,4536,4556
PORTO BARREIRO,3292,3237,3622,3622,3622,3622,3622,3622,3622,3622,3582
PORTO BELO,16496,16496,16896,18066,18630,19189,19744,20294,20834,21388,21932
PORTO RICO,2561,2559,2529,2529,2529,2529,2529,2529,2529,2529,2527
PORTO UNIÃO,33619,33619,33740,34551,34717,34882,35045,35207,35250,35398,35543
PORTO VITÓRIA,4068,4065,4018,4018,4018,4018,4018,4018,4018,4018,4016
POUSO REDONDO,15011,15011,15204,15882,16154,16424,16692,16957,17189,17453,17712
PRADO FERREIRA,3726,3753,3456,3456,3456,3456,3456,3456,3456,3456,3477
PRAIA GRANDE,7266,7266,7265,7377,7374,7370,7367,7364,7326,7319,7312
PRANCHITA,5221,5157,5580,5580,5580,5580,5580,5580,5580,5580,5533
PRESIDENTE CASTELLO BRANCO,1711,1711,1697,1691,1670,1650,1630,1610,1590,1568,1547
PRESIDENTE CASTELO BRANCO,5260,5306,4821,4821,4821,4821,4821,4821,4821,4821,4857
PRESIDENTE GETÚLIO,15084,15084,15273,15943,16210,16474,16736,16996,17215,17471,17726
PRESIDENTE NEREU,2283,2283,2281,2314,2312,2309,2306,2304,2290,2287,2283
PRIMEIRO DE MAIO,11114,11123,10840,10840,10840,10840,10840,10840,10840,10840,10848
PRINCESA,2770,2770,2780,2848,2862,2877,2891,2906,2911,2924,2937
PRUDENTÓPOLIS,51961,52241,48933,48933,48933,48933,48933,48933,48933,48933,49150
QUARTO CENTENÁRIO,4560,4512,4820,4820,4820,4820,4820,4820,4820,4820,4784
QUATIGUÁ,7420,7449,7069,7069,7069,7069,7069,7069,7069,7069,7091
QUATRO BARRAS,23199,23559,20135,20135,20135,20135,20135,20135,20135,20135,20409
QUATRO PONTES,4000,4015,3816,3816,3816,3816,3816,3816,3816,3816,3827
QUEDAS DO IGUAÇU,33788,34103,30854,30854,30854,30854,30854,30854,30854,30854,31095
QUERÊNCIA DO NORTE,12180,12206,11752,11752,11752,11752,11752,11752,11752,11752,11773
QUILOMBO,10211,10211,10175,10255,10201,10149,10096,10044,9946,9887,9829
QUINTA DO SOL,4640,4573,5037,5037,5037,5037,5037,5037,5037,5037,4987
QUITANDINHA,18873,19049,17229,17229,17229,17229,17229,17229,17229,17229,17364
RAMILÂNDIA,4426,4451,4155,4155,4155,4155,4155,4155,4155,4155,4175
RANCHO ALEGRE,3832,3808,3937,3937,3937,3937,3937,3937,3937,3937,3919
RANCHO ALEGRE D'OESTE,2682,2655,2827,2827,2827,2827,2827,2827,2827,2827,2807
RANCHO QUEIMADO,2757,2757,2765,2827,2838,2849,2860,2871,2868,2878,2887
REALEZA,16894,16922,16363,16363,16363,16363,16363,16363,16363,16363,16386
REBOUÇAS,14851,14899,14216,14216,14216,14216,14216,14216,14216,14216,14254
RENASCENÇA,6818,6802,6801,6801,6801,6801,6801,6801,6801,6801,6790
RESERVA,26602,26715,25264,25264,25264,25264,25264,25264,25264,25264,25353
RESERVA DO IGUAÇU,7950,8010,7356,7356,7356,7356,7356,7356,7356,7356,7402
RIBEIRÃO CLARO,10693,10668,10661,10661,10661,10661,10661,10661,10661,10661,10645
RIBEIRÃO DO PINHAL,13112,13029,13462,13462,13462,13462,13462,13462,13462,13462,13401
RIO AZUL,15134,15236,14176,14176,14176,14176,14176,14176,14176,14176,14255
RIO BOM,3225,3203,3318,3318,3318,3318,3318,3318,3318,3318,3302
RIO BONITO DO IGUAÇU,13283,13269,13652,13652,13652,13652,13652,13652,13652,13652,13125
RIO BRANCO DO IVAÍ,4083,4096,3909,3909,3909,3909,3909,3909,3909,3909,3920
RIO BRANCO DO SUL,32273,32397,30751,30751,30751,30751,30751,30751,30751,30751,30848
RIO DAS ANTAS,6145,6145,6146,6245,6245,6246,6246,6246,6208,6205,6202
RIO DO CAMPO,6167,6167,6143,6185,6149,6113,6078,6043,5979,5940,5902
RIO DO OESTE,7118,7118,7145,7319,7355,7392,7428,7463,7456,7489,7520
RIO DO SUL,61931,61931,62658,65256,66251,67237,68217,69188,70100,71061,72006
RIO DOS CEDROS,10388,10388,10488,10879,11019,11157,11295,11431,11542,11676,11808
RIO FORTUNA,4456,4456,4466,4557,4569,4582,4594,4606,4601,4611,4620
RIO NEGRINHO,40011,40011,40169,41167,41386,41602,41817,42029,42106,42302,42495
RIO NEGRO,33922,34170,31471,31471,31471,31471,31471,31471,31471,31471,31662
RIO RUFINO,2438,2438,2440,2482,2484,2485,2487,2489,2482,2483,2483
RIQUEZA,4813,4813,4789,4810,4775,4740,4705,4670,4636,4598,4561
RODEIO,10964,10964,11004,11270,11325,11380,11434,11488,11502,11551,11600
ROLÂNDIA,65757,66580,58511,58511,58511,58511,58511,58511,58511,58511,59139
ROMELÂNDIA,5479,5479,5494,5421,5320,5220,5120,5022,4890,4786,4684
RONCADOR,10058,9849,11377,11377,11377,11377,11377,11377,11377,11377,11221
RONDON,9534,9579,9025,9025,9025,9025,9025,9025,9025,9025,9060
ROSÁRIO DO IVAÍ,4886,4786,5512,5512,5512,5512,5512,5512,5512,5512,5438
SABÁUDIA,6760,6827,6149,6149,6149,6149,6149,6149,6149,6149,6200
SALETE,7386,7386,7402,7553,7573,7594,7614,7634,7626,7642,7659
SALGADO FILHO,3679,3580,4327,4327,4327,4327,4327,4327,4327,4327,4253
SALTINHO,3943,3943,3926,3948,3923,3897,3872,3847,3808,3781,3754
SALTO DO ITARARÉ,4973,4935,5150,5150,5150,5150,5150,5150,5150,5150,5122
SALTO DO LONTRA,14695,14785,13761,13761,13761,13761,13761,13761,13761,13761,13830
SALTO VELOSO,4332,4332,4361,4495,4536,4576,4616,4655,4680,4718,4756
SANGÃO,10575,10575,10744,11294,11532,11767,12001,12233,12446,12678,12905
SANTA AMÉLIA,3385,3324,3757,3757,3757,3757,3757,3757,3757,3757,3712
SANTA CECÍLIA,15831,15831,15902,16315,16413,16510,16606,16701,16741,16830,16918
SANTA CECÍLIA DO PAVÃO,3376,3334,3614,3614,3614,3614,3614,3614,3614,3614,3583
SANTA CRUZ DE MONTE CASTELO,7849,7800,8055,8055,8055,8055,8055,8055,8055,8055,8019
SANTA FÉ,11885,12037,10552,10552,10552,10552,10552,10552,10552,10552,10668
SANTA HELENA,26206,28857,2351,2354,2331,2309,2288,2266,2247,25861,26055
SANTA INÊS,1624,1596,1797,1797,1797,1797,1797,1797,1797,1797,1776
SANTA ISABEL DO IVAÍ,8603,8562,8730,8730,8730,8730,8730,8730,8730,8730,8701
SANTA IZABEL DO OESTE,14521,14659,13242,13242,13242,13242,13242,13242,13242,13242,13347
SANTA LÚCIA,3834,3813,3910,3910,3910,3910,3910,3910,3910,3910,3895
SANTA MARIA DO OESTE,9824,9615,11336,11336,11336,11336,11336,11336,11336,11336,11178
SANTA MARIANA,11829,11724,12356,12356,12356,12356,12356,12356,12356,12356,12279
SANTA MÔNICA,3944,3981,3601,3601,3601,3601,3601,3601,3601,3601,3629
SANTA ROSA DE LIMA,2070,2070,2074,2116,2122,2128,2133,2139,2137,2142,2147
SANTA ROSA DO SUL,8073,8073,8091,8261,8285,8309,8333,8356,8338,8358,8378
SANTA TEREZA DO OESTE,10182,10139,10300,10300,10300,10300,10300,10300,10300,10300,10269
SANTA TEREZINHA,8762,8762,8756,8883,8873,8864,8855,8846,8801,8787,8773
SANTA TEREZINHA DE ITAIPU,23224,23465,21031,21031,21031,21031,21031,21031,21031,21031,21215
SANTA TEREZINHA DO PROGRESSO,2857,2857,2818,2776,2720,2666,2611,2557,2484,2428,2372
SANTANA DO ITARARÉ,5031,4992,5220,5220,5220,5220,5220,5220,5220,5220,5191
SANTIAGO DO SUL,1448,1448,1431,1414,1389,1365,1341,1317,1286,1260,1235
SANTO AMARO DA IMPERATRIZ,20082,20082,20332,21221,21572,21920,22266,22609,22905,23245,23579
SANTO ANTÔNIO DA PLATINA,45728,45993,42920,42920,42920,42920,42920,42920,42920,42920,43125
SANTO ANTÔNIO DO CAIUÁ,2656,2641,2716,2716,2716,2716,2716,2716,2716,2716,2705
SANTO ANTÔNIO DO PARAÍSO,2144,2106,2379,2379,2379,2379,2379,2379,2379,2379,2351
SANTO ANTÔNIO DO SUDOESTE,20069,20166,18972,18972,18972,18972,18972,18972,18972,18972,19048
SANTO INÁCIO,5431,5438,5276,5276,5276,5276,5276,5276,5276,5276,5282
SÃO BENTO DO SUL,75520,75520,76215,78998,79971,80936,81893,82842,83576,84507,85421
SÃO BERNARDINO,2642,2642,2676,2641,2593,2545,2496,2449,2386,2336,2287
SÃO BONIFÁCIO,2992,2992,2977,2989,2966,2944,2922,2899,2862,2838,2814
SÃO CARLOS,10363,10363,10431,10753,10849,10944,11038,11132,11191,11281,11369
SÃO CARLOS DO IVAÍ,6834,6878,6389,6389,6389,6389,6389,6389,6389,6389,6422
SÃO CRISTOVÃO DO SUL,5051,5051,5089,5255,5308,5360,5412,5464,5499,5549,5598
SÃO DOMINGOS,9488,9488,9389,9530,9523,9516,9509,9502,9457,9445,9434
SÃO FRANCISCO DO SUL,43305,43305,44064,46477,47547,48606,49658,50701,51677,52721,53746
SÃO JERÔNIMO DA SERRA,11213,11170,11306,11306,11306,11306,11306,11306,11306,11306,11275
SÃO JOÃO,10303,10241,10553,10553,10553,10553,10553,10553,10553,10553,10508
SÃO JOÃO BATISTA,27135,27135,27982,30337,31534,32720,33897,35065,36244,37424,38583
SÃO JOÃO DO CAIUÁ,5874,5855,5898,5898,5898,5898,5898,5898,5898,5898,5884
SÃO JOÃO DO ITAPERIÚ,3457,3457,3477,3578,3606,3634,3662,3690,3707,3733,3759
SÃO JOÃO DO IVAÍ,10386,10219,11397,11397,11397,11397,11397,11397,11397,11397,11273
SÃO JOÃO DO OESTE,6055,6055,6074,6211,6235,6260,6285,6309,6359,6381,6402
SÃO JOÃO DO SUL,7019,7019,7035,7183,7205,7226,7247,7268,7280,7297,7315
SÃO JOÃO DO TRIUNFO,14996,15120,13803,13803,13803,13803,13803,13803,13803,13803,13899
SÃO JOAQUIM,24964,24964,25111,25841,26045,26247,26447,26646,26763,26952,27139
SÃO JORGE D'OESTE,9074,9050,9068,9068,9068,9068,9068,9068,9068,9068,9052
SÃO JORGE DO IVAÍ,5559,5551,5512,5512,5512,5512,5512,5512,5512,5512,5506
SÃO JORGE DO PATROCÍNIO,5698,5641,5998,5998,5998,5998,5998,5998,5998,5998,5956
SÃO JOSÉ,212587,212587,215278,224779,228561,232309,236029,239718,242927,246586,250181
SÃO JOSÉ DA BOA VISTA,6254,6206,6476,6476,6476,6476,6476,6476,6476,6476,6441
SÃO JOSÉ DAS PALMEIRAS,3682,3654,3810,3810,3810,3810,3810,3810,3810,3810,3789
SÃO JOSÉ DO CEDRO,13685,13685,13685,13904,13902,13901,13899,13897,13838,13829,13820
SÃO JOSÉ DO CERRITO,9188,9188,9104,9061,8941,8823,8705,8588,8421,8295,8173
SÃO JOSÉ DOS PINHAIS,317476,323340,268808,268808,268808,268808,268808,268808,268808,268808,273255
SÃO LOURENÇO DO OESTE,21964,21964,22062,22786,23017,23245,23473,23698,23857,24076,24291
SÃO LUDGERO,11178,11178,11357,11940,12192,12441,12688,12934,13165,13410,13650
SÃO MANOEL DO PARANÁ,2158,2160,2100,2100,2100,2100,2100,2100,2100,2100,2102
SÃO MARTINHO,3205,3205,3200,3239,3232,3224,3217,3210,3189,3180,3171
SÃO MATEUS DO SUL,45806,46261,41617,41617,41617,41617,41617,41617,41617,41617,41965
SÃO MIGUEL DA BOA VISTA,1896,1896,1887,1897,1885,1872,1860,1848,1833,1820,1807
SÃO MIGUEL DO IGUAÇU,27325,27452,25872,25872,25872,25872,25872,25872,25872,25872,25971
SÃO MIGUEL DO OESTE,36612,36612,36908,38162,38575,38984,39390,39793,40090,40482,40868
SÃO PEDRO DE ALCÂNTARA,4790,4790,4874,5139,5256,5373,5488,5602,5709,5823,5935
SÃO PEDRO DO IGUAÇU,5976,5897,6431,6431,6431,6431,6431,6431,6431,6431,6373
SÃO PEDRO DO IVAÍ,10915,10981,10221,10221,10221,10221,10221,10221,10221,10221,10272
SÃO PEDRO DO PARANÁ,2338,2313,2473,2473,2473,2473,2473,2473,2473,2473,2454
SÃO SEBASTIÃO DA AMOREIRA,8847,8853,8632,8632,8632,8632,8632,8632,8632,8632,8638
SÃO TOMÉ,5693,5722,5373,5373,5373,5373,5373,5373,5373,5373,5395
SAPOPEMA,6751,6736,6726,6726,6726,6726,6726,6726,6726,6726,6716
SARANDI,95543,96688,83724,83724,83724,83724,83724,83724,83724,83724,84573
SAUDADE DO IGUAÇU,5459,5500,5061,5061,5061,5061,5061,5061,5061,5061,5092
SAUDADES,9070,9070,9121,9382,9454,9524,9594,9664,9679,9745,9810
SCHROEDER,15790,15790,16248,17538,18186,18827,19463,20095,20728,21365,21991
SEARA,16971,16971,17005,17351,17395,17439,17483,17526,17506,17541,17576
SENGÉS,19267,19327,18463,18463,18463,18463,18463,18463,18463,18463,18511
SERRA ALTA,3282,3282,3279,3323,3317,3312,3307,3301,3270,3263,3256
SERRANÓPOLIS DO IGUAÇU,4513,4495,4555,4555,4555,4555,4555,4555,4555,4555,4543
SERTANEJA,5355,5284,5763,5763,5763,5763,5763,5763,5763,5763,5711
SERTANÓPOLIS,16323,16369,15676,15676,15676,15676,15676,15676,15676,15676,15713
SIDERÓPOLIS,13069,13069,13137,13499,13593,13686,13778,13870,13920,14007,14092
SIQUEIRA CAMPOS,20778,21016,18643,18643,18643,18643,18643,18643,18643,18643,18825
SOMBRIO,26894,26894,27165,28209,28589,28966,29340,29710,30010,30374,30733
SUL BRASIL,2740,2740,2714,2698,2661,2624,2587,2551,2500,2461,2423
SULINA,3033,2981,3354,3354,3354,3354,3354,3354,3354,3354,3315
